Product Name,Category,Sub-category,Price (₦),Stock Quantity,Product Description (2–4 sentences),Key Features,Available Sizes,Available Colors,Material / Fabric,Care Instructions
Charme set,Bottoms,Tops ,"25,990",15,"Whether you’re heading to the gym, practicing yoga, running, or enjoying an active day out, this versatile set combines modern athletic style with everyday functionality.","• Seamless construction for maximum comfort
• High-stretch fabric for flexibility and movement
• Breathable and moisture-wicking material

","M,L","Lavender,black, mint green, brown",Spandex ,
Luxe set ,Tops,Two piece,"29,990",10,"Elevate your activewear collection with the Women’s Seamless Gym Crop Top & Leggings Set, designed to combine comfort, performance, and modern style. This sleek two-piece set features a fitted short-sleeve crop top paired with high-waisted leggings that create a flattering, sculpted silhouette.","• Seamless design for maximum comfort
• Soft, stretchable performance fabric
• High-waisted leggings for core support
• Breathable and moisture-wicking material","M,L","Grey, blue, mint green, nude, light brown",Spandex ,
Skylar set ,Bottoms,Tops ,"25,990",10,"Made from a soft, high-stretch nylon–spandex blend, the fabric moves with your body while providing excellent breathability and moisture-wicking performance to keep you cool and comfortable during workouts. The seamless construction ensures a smooth feel against the skin while reducing irritation, making it ideal for long training sessions.","• Soft, stretchable performance fabric
• High-waisted leggings for core support
• Flexible design for full range of movement
• Perfect for gym, yoga, fitness, and activewear","M, L","Grey, mint green, nude, brown, dark blue, black",Spandex ,
Aero sculpt jumpsuit ,Tops,Jumpsuits ,"25,990",10,"Perfect for gym training, yoga, pilates, or athleisure wear, this jumpsuit combines performance and modern fashion to create a standout activewear essential.","• Seamless construction for smooth comfort
• High-stretch fabric for flexibility and movement
• Sculpting, body-contouring fit that enhances curves

","M, L","White, light brown, mint green, grey",Cotton ,
Flexsuit,Tops,Jumpsuit,"29,990",10,"Made from a premium stretch cotton _spandex blend, the fabric is lightweight, breathable, and moisture-wicking to keep you cool and comfortable during workouts. The seamless construction reduces irritation while the open-back design adds both style and improved ventilation.","• Sculpting, body-contouring fit that enhances curves
• Breathable and moisture-wicking performance fabric
• Stylish open-back design for ventilation and style
","M, L","Burgundy , grey, black",Cotton ,
Corefit,Tops,Bottoms ,"25,990",10,"The high-waisted leggings provide gentle compression and support around the core, enhancing comfort and confidence whether you’re at the gym, practicing yoga, running, or enjoying an active day out.","• Seamless design for maximum comfort
• Soft, stretchable performance fabric
• High-waisted leggings for core support
• Breathable and moisture-wicking material","M, L","Burnt orange , nude , mint green, black, wine",Cotton ,
Peak fit ,Tops,Bottoms ,"25,990",8,"Designed for performance and style, the Women’s Seamless Gym Workout Set offers the perfect balance of comfort, flexibility, and support. This sleek two-piece set features a fitted camisole-style top paired with high-waisted shorts, creating a flattering and body-contouring silhouette that moves with you during every workout.","• Breathable and moisture-wicking material
• Perfect for gym workouts, yoga, fitness, and activewear
• Soft and durable performance fabric","M, L","Brown , dark blue, mint green, nude, grey, black",Spandex ,
Bum covers ,Bottoms,Shorts,"15,990",5,Stretchy ,Body hug ,,,Cotton ,
Singlets ,Tops,,"10,990",5,"Padded and stretchy 
No need for bra or inner wear due to the extra pad that comes with this fit .","Padded 
Comfortable during movement ",M,,Cotton ,
Elevate jacket ( short hand ),Tops,Jackets ,"20,990",10,"The lightweight and breathable fabric helps regulate body temperature while keeping you comfortable during training sessions, warm-ups, or outdoor activities. 
","• Stretchable spandex fabric for maximum flexibility
• Lightweight and breathable material
• Body-contouring athletic fit
• Perfect for gym, yoga, running, and training",M,"Baby pink , light blue , grey , nude, black ",Spandex ,
Elevate jacket ( long hands ),Tops,Jacket ,"23,990",5,"
The lightweight and breathable fabric helps regulate body temperature while keeping you comfortable during training sessions, warm-ups, or outdoor activities. Its flexible design allows a full range of motion, making it ideal for gym workouts, running, yoga, or everyday active wear.
","• Stretchable spandex fabric for maximum flexibility
• Lightweight and breathable material
• Perfect for gym, yoga, running, and training",L,"Wine , grey, baby pink , black ",Spandex ,
Vortex compression ,Tops,Tops ,"25,990",10,"
Designed for performance and comfort, the Men’s Seamless Compression Training Shirt provides a supportive, second-skin fit that enhances your workout


","• Seamless Design – Reduces chafing and irritation for maximum comfort during workouts.
• Compression Support – Provides a snug fit that supports muscles and enhances performance.
","M, L","White, black , light sage green, grey ",Spandex ,
Quarter zip compression training top ,Tops,Tops ,"25,990",5,"Push your limits in style and comfort with the Men’s Quarter-Zip Compression Training Top. Designed for athletes and fitness enthusiasts, this performance top delivers a sleek, body-contouring fit that supports your muscles during intense workouts while maintaining maximum flexibility.

Crafted from a high-stretch polyester–spandex blend, the fabric moves with your body while effectively wicking away sweat to keep you cool and dry. The lightweight material provides breathable comfort, making it perfect for gym training, running, outdoor workouts, or everyday active wear.","        •  Quarter-Zip Collar – Adjustable ventilation and easy to put on or remove.
        •  Compression Fit – Supports muscles and enhances performance during workouts.
        •  Stretch Performance Fabric – Flexible material allows full range of motion.
        •  Moisture-Wicking Technology – Helps keep you dry by pulling sweat away from the skin.
 ",XL,"Burgundy, dark blue ",Polyester/spandex blend ,
Men’s streetwear track pants ,Bottoms,Bottoms ,"25,990",8,"Crafted from lightweight, durable fabric, they provide all-day comfort while allowing easy movement whether you’re training, running errands, or styling a casual streetwear look. The clean piping details and bold color give the pants a modern athletic edge that pairs effortlessly with hoodies, sneakers, or training tops.","• Relaxed athletic fit for comfort and mobility
• Lightweight and breathable fabric
",XL,"Burgundy , black, grey ",Polyester blend ,
Basic cotton tops ,Tops,Tops ,"20,990",5,"The Cotton Basic Top is a timeless essential designed for everyday comfort and effortless style. Made from soft, breathable cotton fabric, this top offers a lightweight feel that keeps you comfortable throughout the day.","Material: 100% Cotton
Fit: Regular / Comfortable fit
Sleeve: Short sleeve
Neckline: Classic crew neck",XL,"White and black , grey and black ",Cotton ,
Gym shorts ,Bottoms,Bottoms ,"15,990",10,"Train harder and move freely with the Men’s Performance Gym Shorts, designed for comfort, flexibility, and durability during intense workouts. Made from lightweight, breathable fabric, these shorts help keep you cool and comfortable whether you’re lifting, running, or training.
With a modern athletic design and practical side pockets, these gym shorts are perfect for workouts, sports activities, or casual everyday wear.","• Lightweight and breathable fabric
• Moisture-wicking and quick-dry material
• Flexible design for full range of motion
",XL,"Black , light sage, green, grey g",Polyester / spandex blend ,
